FECHA,TURNO,GRUPO,MÁQ.,CODIGO,PRODUCCION (PZAS),TOTAL KG,SCRAP,DIA,NOMBRE_DIA
2021-12-01,Mañana,B,EB G1,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB G2,"IBT24,5X35C0F0S",4,64.55,86.25,1,Wednesday
2021-12-01,Mañana,B,EB G3,IBT17X40G1F0SO,8,194.76999999999998,12.4,1,Wednesday
2021-12-01,Mañana,B,EB G4,IBT17X30G1F0S2,8,295.77600000000007,11.85,1,Wednesday
2021-12-01,Mañana,B,EB-17,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-18,IAT30X75R0F10SO,3,63.849000000000004,56.45,1,Wednesday
2021-12-01,Mañana,B,EB-026,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-029,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-032,"IAT8,5X28K0F5,5TO",5,89.36999999999999,2.35,1,Wednesday
2021-12-01,Mañana,B,EB-036,"IAT8,5X28W0F5,5TO",5,89.47000000000001,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-037,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-038,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-043,"IAT25X16W0F2,5TO",6,67.792,38.0,1,Wednesday
2021-12-01,Mañana,B,EB-044,"IAT8,5X28W0F5,5TO",5,88.92,16.95,1,Wednesday
2021-12-01,Mañana,B,EB-045,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-046,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-047,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-050,"IAT8,5X28K0F5,5TO",6,104.89400000000002,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-051,"IAT8,5X28W0F5,5TO",6,108.39399999999999,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-052,"IAT8,5X28W0F5,5TO",7,127.41799999999999,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-053,"IBT80X76C0F17,5T",4,63.122,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-053,IBT80X70C0F14T,11,165.72,12.75,1,Wednesday
2021-12-01,Mañana,B,EB-070,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-071,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-072,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-073,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-074,"IAT9,5X39P0F6TO",15,213.63,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-075,OAT14X48W0F7TO,14,355.436,29.6,1,Wednesday
2021-12-01,Mañana,B,EB-088,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-090,IAT8X20G0F0SO,5,59.69499999999999,2.05,1,Wednesday
2021-12-01,Mañana,B,EB-091,IAT8X20G0F0SO,5,59.545,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-092,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-093,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-094,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-095,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-096,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-097,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-098,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-099,IAT8X13C0F0SO,12,92.256,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-101,IAT8X20R0F0SO,5,60.245000000000005,3.15,1,Wednesday
2021-12-01,Mañana,B,EB-102,IAT8X15B0F0SO,6,53.80800000000001,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-103,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-104,IAT8X9C0F0SO,18,96.66799999999999,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-105,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-106,IAT8X20R0F0SO,3,35.257000000000005,21.9,1,Wednesday
2021-12-01,Mañana,B,EB-107,IAT8X13C0F0SO,12,94.40599999999999,9.0,1,Wednesday
2021-12-01,Mañana,B,EB-108,IAT8X20Y0F0SO,5,59.695,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-109,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-110,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-111,"IAT9,5X34K0F0T1",11,270.22799999999995,9.75,1,Wednesday
2021-12-01,Mañana,B,EB-112,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-114,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-115,"IAT9,5X36C0F0SO",6,146.868,68.55,1,Wednesday
2021-12-01,Mañana,B,EB-116,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-117,IBT80X88M0F0S,3,75.256,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-117,IBL30X63C0F0T,8,128.19,40.6,1,Wednesday
2021-12-01,Mañana,B,EB-118,IAT25X60WRF10SO,0,0.0,60.1,1,Wednesday
2021-12-01,Mañana,B,EB-119,"IAT9,5X40WBF7,5SO",9,125.973,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-119,"IAT9,5X40WGF7,5SO",11,155.317,0.0,1,Wednesday
2021-12-01,Mañana,B,EB 120,IBT17X40G1F0SO,16,393.8400000000001,19.1,1,Wednesday
2021-12-01,Mañana,B,EB 121,0,0,0.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-122,IPT30X35C0F0T,13,243.275,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-123,IPT18X30C0F0SO,5,86.68,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-124,"IAT9,5X34W0F0T2-ZOO22",18,2172.909999999999,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-125,"IAT7,5X28R0F0SO",25,774.0,0.0,1,Wednesday
2021-12-01,Mañana,B,EB-125,"IAT7,5X28G0F0SO",35,1011.8,101.0,1,Wednesday
2021-12-01,Tarde,C,EB G1,0,0,0.0,0.0,1,Wednesday
2021-12-01,Tarde,C,EB G2,"IBT24,5X35C0F0S",7,111.57499999999999,24.0,1,Wednesday
2021-12-01,Tarde,C,EB G3,IBT17X40G1F0SO,8,186.17,18.0,1,Wednesday
2021-12-01,Tarde,C,EB G4,IBT17X30G1F0S2,7,259.404,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-17,0,0,0.0,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-18,IAT30X75R0F10SO,11,242.01300000000003,42.75,1,Wednesday
2021-12-01,Tarde,C,EB-026,0,0,0.0,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-029,0,0,0.0,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-032,"IAT8,5X28K0F5,5TO",4,72.696,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-036,"IAT8,5X28W0F5,5TO",6,106.84400000000001,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-037,0,0,0.0,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-038,0,0,0.0,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-043,"IAT25X16W0F2,5TO",2,23.264,45.15,1,Wednesday
2021-12-01,Tarde,C,EB-044,"IAT8,5X28W0F5,5TO",6,109.24400000000001,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-045,0,0,0.0,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-046,0,0,0.0,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-047,0,0,0.0,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-050,"IAT8,5X28K0F5,5TO",6,109.794,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-051,"IAT8,5X28W0F5,5TO",5,90.02,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-052,"IAT8,5X28W0F5,5TO",6,110.394,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-053,"IBT80X76C0F17,5T",16,260.088,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-070,0,0,0.0,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-071,0,0,0.0,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-072,0,0,0.0,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-073,0,0,0.0,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-074,"IAT9,5X39P0F6TO",16,227.882,1.0,1,Wednesday
2021-12-01,Tarde,C,EB-075,OAT14X48W0F7TO,14,360.886,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-088,0,0,0.0,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-090,IAT8X20G0F0SO,5,59.845000000000006,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-091,IAT8X20G0F0SO,5,59.795,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-092,0,0,0.0,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-093,0,0,0.0,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-094,0,0,0.0,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-095,0,0,0.0,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-096,0,0,0.0,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-097,0,0,0.0,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-098,0,0,0.0,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-099,IAT8X13C0F0SO,10,77.68,1.8,1,Wednesday
2021-12-01,Tarde,C,EB-101,IAT8X20R0F0SO,3,35.807,20.05,1,Wednesday
2021-12-01,Tarde,C,EB-102,IAT8X15B0F0SO,6,54.65800000000001,0.0,1,Wednesday
2021-12-01,Tarde,C,EB-103,0,0,0.0,0.0,1,Wednesday
